timestamp,Temperature,Humidity,PM2.5,PM10,NO2,CO,SO2,AQI
2024-01-01 00:00:00,7.5,60.8,104.1,167.0,66.1,2.47,43.4,175.6
2024-01-01 01:00:00,5.4,64.4,69.9,108.6,71.1,1.81,33.0,157.6
2024-01-01 02:00:00,6.5,71.8,68.4,148.4,55.8,2.07,31.2,156.8
2024-01-01 03:00:00,8.0,72.7,103.3,165.7,61.4,1.82,,175.2
2024-01-01 04:00:00,4.7,,80.8,134.1,73.7,2.06,36.4,163.4
2024-01-01 05:00:00,5.2,65.2,97.7,186.3,73.9,2.26,35.8,172.3
2024-01-01 06:00:00,9.6,68.7,75.4,129.0,69.9,2.39,38.3,160.5
2024-01-01 07:00:00,9.0,60.7,87.1,143.1,89.0,3.1,36.0,166.7
2024-01-01 08:00:00,7.8,60.6,98.7,154.6,,3.0,30.5,172.8
2024-01-01 09:00:00,11.1,68.4,,126.2,88.3,2.73,34.8,162.3
2024-01-01 10:00:00,10.4,51.2,74.6,131.9,80.8,2.52,26.5,160.1
2024-01-01 11:00:00,11.6,56.9,88.1,136.5,62.0,2.07,34.4,167.2
2024-01-01 12:00:00,14.0,53.5,69.1,126.7,62.6,2.06,26.6,157.2
2024-01-01 13:00:00,10.5,49.5,76.3,128.4,65.9,1.83,38.0,161.0
2024-01-01 14:00:00,11.4,51.0,101.9,201.4,61.6,2.29,25.0,174.5
2024-01-01 15:00:00,13.9,42.2,94.5,160.8,62.4,2.24,25.0,170.6
2024-01-01 16:00:00,12.8,56.7,102.5,207.6,75.1,,29.9,174.8
2024-01-01 17:00:00,15.0,59.2,97.6,154.2,90.3,2.9,31.7,172.2
2024-01-01 18:00:00,11.7,51.8,70.9,111.9,87.9,2.97,28.4,158.2
2024-01-01 19:00:00,9.7,66.1,80.1,135.4,91.5,3.05,30.5,163.0
2024-01-01 20:00:00,14.2,54.9,84.0,160.6,85.8,3.03,29.7,165.1
2024-01-01 21:00:00,9.5,62.0,122.1,230.0,81.0,2.6,27.6,185.1
2024-01-01 22:00:00,8.8,70.3,104.9,173.8,,2.17,32.9,176.1
2024-01-01 23:00:00,4.7,63.7,113.5,180.3,64.1,2.09,40.4,180.6
2024-01-02 00:00:00,5.4,61.6,109.9,171.8,75.6,2.17,29.5,178.7
2024-01-02 01:00:00,5.9,62.3,102.3,167.3,61.1,1.92,31.2,174.7
2024-01-02 02:00:00,,81.9,72.4,116.8,54.5,1.73,26.4,158.9
2024-01-02 03:00:00,5.8,69.4,84.7,135.6,78.7,1.79,37.1,165.4
2024-01-02 04:00:00,4.0,70.7,79.4,127.9,64.3,2.18,28.8,162.6
2024-01-02 05:00:00,5.1,64.8,77.9,135.0,75.3,2.14,37.9,161.8
2024-01-02 06:00:00,5.3,73.2,110.9,210.4,81.1,2.42,29.4,179.2
2024-01-02 07:00:00,11.2,62.1,97.8,156.4,90.4,2.7,33.2,172.3
2024-01-02 08:00:00,8.7,60.6,87.3,154.3,89.2,2.99,33.6,166.8
2024-01-02 09:00:00,7.9,61.5,116.2,182.4,88.7,2.91,32.3,182.0
2024-01-02 10:00:00,12.9,51.6,75.1,122.4,72.6,2.53,23.6,160.4
2024-01-02 11:00:00,10.1,53.1,99.7,,56.6,1.88,25.0,173.3
2024-01-02 12:00:00,14.0,58.5,67.6,120.5,62.6,1.92,34.8,156.4
2024-01-02 13:00:00,10.4,51.7,,163.5,71.5,2.17,32.7,167.4
2024-01-02 14:00:00,12.2,49.1,73.9,,74.0,1.96,29.7,159.7
2024-01-02 15:00:00,15.4,49.1,76.9,127.8,75.8,2.36,38.4,161.3
2024-01-02 16:00:00,16.3,46.5,102.8,220.4,72.1,2.57,35.9,174.9
2024-01-02 17:00:00,14.7,59.6,82.3,150.6,,2.87,30.7,164.2
2024-01-02 18:00:00,13.3,47.5,80.0,135.8,84.7,2.94,26.4,162.9
2024-01-02 19:00:00,11.9,55.1,103.8,176.0,118.8,3.21,30.8,175.5
2024-01-02 20:00:00,8.3,57.5,107.3,193.5,92.3,2.94,35.6,177.3
2024-01-02 21:00:00,,65.0,71.6,125.5,82.4,2.92,29.3,158.5
2024-01-02 22:00:00,,68.6,121.2,227.4,62.6,2.32,31.2,184.6
2024-01-02 23:00:00,9.6,65.8,79.9,138.9,63.5,2.49,29.4,162.9
2024-01-03 00:00:00,7.2,69.9,78.3,142.9,70.7,1.62,27.0,162.1
2024-01-03 01:00:00,2.1,72.0,65.7,101.4,69.1,1.95,24.7,155.4
2024-01-03 02:00:00,5.8,60.2,95.6,,,2.01,35.0,171.2
2024-01-03 03:00:00,4.2,64.1,73.5,133.0,67.5,2.54,27.7,159.5
2024-01-03 04:00:00,3.8,68.6,80.7,137.7,52.1,1.82,30.6,163.3
2024-01-03 05:00:00,6.9,67.6,98.0,164.7,77.6,2.21,33.1,172.4
2024-01-03 06:00:00,8.5,62.5,,135.3,84.5,,38.6,164.6
2024-01-03 07:00:00,9.4,69.7,84.8,145.6,77.0,2.95,29.6,165.5
2024-01-03 08:00:00,7.0,63.1,91.9,166.1,92.7,2.79,40.8,169.2
2024-01-03 09:00:00,,58.9,99.3,175.8,74.0,2.4,24.0,173.1
2024-01-03 10:00:00,12.0,,106.0,211.6,71.0,2.59,39.2,176.6
2024-01-03 11:00:00,14.5,53.8,68.2,153.4,69.8,2.4,34.6,156.7
2024-01-03 12:00:00,12.6,38.4,102.3,187.2,66.3,2.06,26.7,174.7
2024-01-03 13:00:00,14.0,48.8,99.2,196.6,67.6,2.08,30.2,173.1
2024-01-03 14:00:00,,48.7,77.3,137.3,67.0,1.72,35.2,161.5
2024-01-03 15:00:00,12.6,49.2,92.4,171.1,70.2,2.53,30.0,169.5
2024-01-03 16:00:00,16.5,40.6,91.8,153.0,67.3,2.54,33.6,169.2
2024-01-03 17:00:00,17.0,50.7,99.7,206.4,80.3,2.42,24.3,173.3
2024-01-03 18:00:00,13.4,,95.9,168.5,92.8,3.16,32.2,171.3
2024-01-03 19:00:00,14.5,49.9,79.7,150.4,96.1,2.68,29.3,162.8
2024-01-03 20:00:00,12.0,60.5,101.5,180.2,114.2,2.91,26.4,174.3
2024-01-03 21:00:00,8.7,70.1,78.6,159.9,82.4,2.57,29.6,162.2
2024-01-03 22:00:00,9.4,63.4,110.5,168.8,61.2,2.08,29.1,179.0
2024-01-03 23:00:00,10.6,61.9,138.3,224.2,58.6,2.13,30.1,193.6
2024-01-04 00:00:00,6.4,69.4,84.4,164.9,67.0,2.09,33.7,165.3
2024-01-04 01:00:00,8.8,75.1,71.3,124.9,64.0,2.24,28.1,158.4
2024-01-04 02:00:00,-0.1,74.7,77.1,119.6,63.6,2.45,28.1,161.4
2024-01-04 03:00:00,6.6,85.7,109.5,,52.6,2.18,,178.5
2024-01-04 04:00:00,5.3,68.0,101.8,217.5,,2.56,28.8,174.4
2024-01-04 05:00:00,5.1,71.7,,177.6,,2.21,36.3,172.7
2024-01-04 06:00:00,6.6,76.2,116.4,204.1,66.7,2.23,33.3,182.1
2024-01-04 07:00:00,3.5,73.4,82.2,136.6,74.6,2.59,31.0,164.1
2024-01-04 08:00:00,8.3,53.4,92.5,194.8,96.6,2.9,25.4,169.5
2024-01-04 09:00:00,10.7,60.0,84.4,149.1,86.6,2.58,34.3,165.3
2024-01-04 10:00:00,14.2,64.3,93.1,169.5,81.4,,,169.8
2024-01-04 11:00:00,11.5,68.5,99.3,157.0,78.5,2.14,,173.1
2024-01-04 12:00:00,11.9,55.0,77.8,,67.4,2.16,29.2,161.8
2024-01-04 13:00:00,13.3,47.8,108.6,196.4,,1.89,32.9,178.0
2024-01-04 14:00:00,16.7,43.4,79.2,122.2,71.9,2.24,39.3,162.5
2024-01-04 15:00:00,15.7,59.1,87.2,148.8,56.5,2.03,32.4,166.7
2024-01-04 16:00:00,13.8,52.1,106.0,203.8,67.8,2.54,32.4,176.6
2024-01-04 17:00:00,15.4,45.4,100.9,184.5,79.9,2.49,29.2,173.9
2024-01-04 18:00:00,13.7,50.5,90.5,175.4,94.0,2.83,33.0,168.5
2024-01-04 19:00:00,14.4,55.6,103.7,169.8,107.0,2.94,34.4,175.4
2024-01-04 20:00:00,9.9,,94.2,160.8,85.5,2.7,29.6,170.4
2024-01-04 21:00:00,9.3,,94.5,170.8,70.9,2.88,28.7,170.6
2024-01-04 22:00:00,7.9,60.0,90.3,150.1,84.5,2.58,31.8,168.4
2024-01-04 23:00:00,,57.7,69.5,114.5,,2.32,30.7,157.4
2024-01-05 00:00:00,7.1,73.7,83.7,138.9,89.0,2.01,32.4,164.9
2024-01-05 01:00:00,6.2,68.7,93.0,148.9,52.7,1.77,39.8,169.8
2024-01-05 02:00:00,5.2,73.9,130.7,213.3,66.2,2.26,37.5,189.6
2024-01-05 03:00:00,4.5,79.1,84.4,157.7,53.4,1.89,31.6,165.3
2024-01-05 04:00:00,2.3,72.7,113.9,177.5,78.6,,25.3,180.8
2024-01-05 05:00:00,4.8,69.8,78.8,138.1,52.9,2.17,29.4,162.3
2024-01-05 06:00:00,5.8,69.5,113.1,203.5,66.9,2.54,34.9,180.4
2024-01-05 07:00:00,5.9,66.3,136.7,222.4,87.6,2.86,32.5,192.8
2024-01-05 08:00:00,8.4,69.3,74.8,124.1,92.1,3.08,22.4,160.2
2024-01-05 09:00:00,10.8,61.6,80.6,130.4,84.9,2.44,29.4,163.3
2024-01-05 10:00:00,,54.2,88.7,157.4,78.2,2.36,34.6,167.5
2024-01-05 11:00:00,12.8,59.2,67.3,131.0,76.2,2.26,29.8,156.3
2024-01-05 12:00:00,14.1,57.7,77.1,148.2,68.9,1.78,28.8,161.4
2024-01-05 13:00:00,14.2,42.9,87.4,156.5,61.9,2.07,31.4,166.8
2024-01-05 14:00:00,11.0,56.1,69.5,133.5,58.9,2.1,26.2,157.4
2024-01-05 15:00:00,14.9,49.8,69.4,155.2,69.7,1.91,28.4,157.4
2024-01-05 16:00:00,15.0,49.8,74.0,110.6,75.9,2.37,25.1,159.8
2024-01-05 17:00:00,19.3,54.6,80.8,139.6,86.5,2.76,24.4,163.4
2024-01-05 18:00:00,13.2,48.7,115.7,223.8,90.1,2.9,36.8,181.7
2024-01-05 19:00:00,13.1,58.8,89.6,152.4,83.8,,36.8,168.0
2024-01-05 20:00:00,11.2,55.0,103.2,164.9,97.5,3.13,33.7,175.2
2024-01-05 21:00:00,,52.6,87.3,166.4,77.6,2.51,32.7,166.8
2024-01-05 22:00:00,11.0,58.1,82.3,198.2,73.5,2.42,24.2,164.2
2024-01-05 23:00:00,9.0,68.8,94.9,147.4,67.8,1.79,32.7,170.8
2024-01-06 00:00:00,8.0,63.8,85.6,173.4,41.2,1.99,25.3,165.9
2024-01-06 01:00:00,3.9,78.4,93.6,149.3,51.8,1.76,23.7,170.1
2024-01-06 02:00:00,8.0,77.5,95.3,161.2,54.7,1.73,22.6,171.0
2024-01-06 03:00:00,2.2,78.7,75.0,143.9,58.5,1.51,26.5,160.3
2024-01-06 04:00:00,6.3,72.2,109.4,185.3,37.3,1.44,27.5,178.4
2024-01-06 05:00:00,10.1,71.7,114.1,205.4,41.8,1.92,33.2,180.9
2024-01-06 06:00:00,4.5,62.5,69.9,123.4,55.1,2.0,28.7,157.6
2024-01-06 07:00:00,6.4,71.0,105.8,196.4,65.7,2.25,30.2,176.5
2024-01-06 08:00:00,8.9,65.0,102.0,165.2,59.4,2.47,33.2,174.5
2024-01-06 09:00:00,9.0,,73.9,140.7,63.0,2.08,,159.7
2024-01-06 10:00:00,8.2,65.3,89.3,153.1,,,27.4,167.8
2024-01-06 11:00:00,12.6,51.0,90.8,151.5,45.0,1.75,30.8,168.6
2024-01-06 12:00:00,11.4,50.9,73.6,115.8,52.7,1.5,26.9,159.6
2024-01-06 13:00:00,,51.2,76.2,118.8,47.6,1.76,,160.9
